,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source,year
0,Attack on Titan,"Action, Drama, Fantasy, Mystery",WIT STUDIO,25,2013-04-01,Tv,84.0,AniList,2013.0
1,Demon Slayer: Kimetsu no Yaiba,"Action, Adventure, Drama, Fantasy, Supernatural",ufotable,26,2019-04-01,Tv,82.0,AniList,2019.0
2,Death Note,"Mystery, Psychological, Supernatural, Thriller",MADHOUSE,37,2006-10-01,Tv,84.0,AniList,2006.0
3,JUJUTSU KAISEN,"Action, Drama, Supernatural",Toho,24,2020-10-01,Tv,85.0,AniList,2020.0
4,My Hero Academia,"Action, Adventure, Comedy",bones,13,2016-04-01,Tv,76.0,AniList,2016.0
5,Hunter x Hunter (2011),"Action, Adventure, Fantasy",MADHOUSE,148,2011-10-01,Tv,89.0,AniList,2011.0
6,One-Punch Man,"Action, Comedy, Sci-Fi, Supernatural",MADHOUSE,12,2015-10-01,Tv,83.0,AniList,2015.0
7,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Supernatural",Studio Pierrot,12,2014-07-01,Tv,75.0,AniList,2014.0
8,Attack on Titan Season 2,"Action, Drama, Fantasy, Mystery",WIT STUDIO,12,2017-04-01,Tv,84.0,AniList,2017.0
9,Sword Art Online,"Action, Adventure, Fantasy, Romance",Aniplex,25,2012-07-01,Tv,69.0,AniList,2012.0
10,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy",bones,64,2009-04-01,Tv,90.0,AniList,2009.0
11,ONE PIECE,"Action, Adventure, Comedy, Drama, Fantasy",Toei Animation,1000,1999-10-01,Tv,88.0,AniList,1999.0
12,Naruto,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",Studio Pierrot,220,2002-10-01,Tv,79.0,AniList,2002.0
15,Attack on Titan Season 3,"Action, Drama, Fantasy, Mystery",WIT STUDIO,12,2018-07-01,Tv,85.0,AniList,2018.0
16,My Hero Academia Season 2,"Action, Adventure, Comedy",bones,25,2017-04-01,Tv,79.0,AniList,2017.0
17,The Promised Neverland,"Drama, Fantasy, Horror, Mystery, Psychological, Thriller",CloverWorks,12,2019-01-01,Tv,83.0,AniList,2019.0
18,Attack on Titan Final Season,"Action, Drama, Fantasy, Mystery",MAPPA,16,2020-12-01,Tv,86.0,AniList,2020.0
19,Assassination Classroom,"Action, Comedy, Drama, Supernatural",Lerche,22,2015-01-01,Tv,79.0,AniList,2015.0
20,Mob Psycho 100,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",bones,12,2016-07-01,Tv,84.0,AniList,2016.0
21,My Hero Academia Season 3,"Action, Adventure, Comedy, Drama",bones,25,2018-04-01,Tv,79.0,AniList,2018.0
22,Your lie in April,"Drama, Music, Romance, Slice of Life",A-1 Pictures,22,2014-10-01,Tv,84.0,AniList,2014.0
23,ERASED,"Drama, Mystery, Psychological, Supernatural, Thriller",A-1 Pictures,12,2016-01-01,Tv,81.0,AniList,2016.0
24,Naruto: Shippuden,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",Studio Pierrot,500,2007-02-01,Tv,81.0,AniList,2007.0
